b	283	54	480	97	mask	b
r	441	1375	569	1410	mask	r
r	586	1379	636	1401	mask	r
r	651	1371	677	1399	mask	r
r	695	1368	953	1399	mask	r
r	972	1364	1002	1392	mask	r
r	1020	1360	1230	1392	mask	r
r	1251	1358	1293	1388	mask	r
r	1316	1355	1436	1386	mask	r
r	1455	1355	1613	1390	mask	r
r	1631	1353	1734	1381	mask	r
r	472	1423	524	1453	mask	r
r	539	1423	664	1459	mask	r
r	677	1423	703	1449	mask	r
r	716	1427	855	1457	mask	r
r	870	1416	944	1446	mask	r
r	955	1414	1002	1446	mask	r
r	1015	1423	1141	1444	mask	r
r	1156	1412	1212	1442	mask	r
r	1225	1410	1277	1440	mask	r
r	1293	1410	1446	1440	mask	r
r	1462	1414	1540	1444	mask	r
r	1550	1407	1626	1436	mask	r
r	1639	1403	1734	1433	mask	r
r	444	1475	480	1505	mask	r
r	498	1475	576	1503	mask	r
r	591	1472	753	1503	mask	r
r	768	1477	859	1501	mask	r
r	875	1468	1054	1498	mask	r
r	1072	1464	1212	1494	mask	r
r	1232	1462	1390	1492	mask	r
r	1410	1459	1535	1490	mask	r
r	1553	1457	1609	1488	mask	r
r	1624	1457	1676	1488	mask	r
r	1691	1455	1737	1492	mask	r
r	444	1527	539	1563	mask	r
r	554	1533	589	1555	mask	r
r	608	1524	708	1553	mask	r
r	1232	454	1321	487	mask	r
r	1234	491	1336	522	mask	r
r	1347	491	1366	524	mask	r
r	1384	487	1472	522	mask	r
