b	1387	53	1691	88	mask	b
r	364	1081	502	1109	mask	r
r	519	1075	560	1103	mask	r
r	575	1073	618	1103	mask	r
r	637	1075	722	1103	mask	r
r	739	1075	827	1103	mask	r
r	847	1075	972	1103	mask	r
r	993	1073	1092	1109	mask	r
r	1116	1081	1155	1103	mask	r
r	1178	1075	1347	1103	mask	r
r	1368	1081	1428	1109	mask	r
r	1448	1073	1551	1101	mask	r
r	144	1125	224	1155	mask	r
r	245	1125	293	1153	mask	r
r	314	1125	415	1153	mask	r
r	439	1125	497	1155	mask	r
r	521	1125	640	1161	mask	r
r	665	1125	790	1155	mask	r
r	814	1127	870	1153	mask	r
r	887	1125	1028	1153	mask	r
r	1047	1125	1178	1161	mask	r
r	1200	1125	1267	1153	mask	r
r	1288	1125	1411	1153	mask	r
r	1433	1122	1553	1153	mask	r
r	144	1183	221	1204	mask	r
r	245	1176	387	1204	mask	r
r	413	1176	452	1204	mask	r
r	474	1176	504	1204	mask	r
r	523	1176	683	1211	mask	r
r	704	1178	737	1204	mask	r
r	758	1183	836	1204	mask	r
r	859	1176	911	1204	mask	r
r	933	1176	1092	1204	mask	r
r	1114	1183	1226	1204	mask	r
r	1247	1174	1288	1204	mask	r
r	1312	1174	1476	1206	mask	r
r	1500	1174	1551	1209	mask	r
r	146	1234	282	1262	mask	r
r	301	1234	357	1262	mask	r
r	372	1226	528	1262	mask	r
r	545	1234	586	1254	mask	r
r	607	1226	765	1260	mask	r
r	784	1234	924	1262	mask	r
r	941	1226	1086	1262	mask	r
r	1103	1226	1122	1254	mask	r
r	1137	1226	1306	1254	mask	r
r	1321	1224	1340	1254	mask	r
r	1355	1232	1394	1254	mask	r
r	1411	1224	1553	1260	mask	r
r	144	1284	200	1306	mask	r
r	224	1278	252	1306	mask	r
r	278	1278	379	1312	mask	r
r	403	1278	659	1312	mask	r
r	672	1284	678	1310	mask	r
r	706	1284	745	1306	mask	r
r	775	1275	898	1310	mask	r
r	926	1278	1081	1312	mask	r
r	1109	1278	1127	1306	mask	r
r	1153	1275	1284	1312	mask	r
r	1310	1284	1347	1303	mask	r
r	1375	1284	1413	1303	mask	r
r	1433	1275	1553	1303	mask	r
r	144	1327	288	1355	mask	r
r	301	1334	342	1355	mask	r
r	359	1327	497	1362	mask	r
r	512	1327	532	1357	mask	r
r	547	1334	586	1355	mask	r
r	603	1327	683	1355	mask	r
r	702	1327	834	1357	mask	r
r	853	1327	920	1357	mask	r
r	937	1327	1053	1362	mask	r
r	1066	1327	1105	1355	mask	r
r	1118	1327	1146	1355	mask	r
r	1159	1327	1314	1362	mask	r
r	1323	1327	1387	1355	mask	r
r	1400	1325	1428	1355	mask	r
r	1439	1325	1551	1359	mask	r
r	146	1377	351	1411	mask	r
r	372	1377	463	1413	mask	r
r	484	1379	515	1407	mask	r
r	532	1379	601	1407	mask	r
r	622	1377	778	1411	mask	r
r	799	1377	954	1411	mask	r
r	974	1385	1015	1407	mask	r
r	1038	1377	1140	1407	mask	r
r	1166	1377	1204	1407	mask	r
r	1222	1377	1288	1407	mask	r
r	1303	1377	1362	1411	mask	r
r	1377	1377	1553	1413	mask	r
r	144	1428	230	1456	mask	r
r	250	1435	375	1456	mask	r
r	394	1428	443	1456	mask	r
r	463	1428	536	1463	mask	r
r	553	1428	681	1463	mask	r
r	698	1428	728	1456	mask	r
r	745	1428	909	1465	mask	r
r	928	1435	984	1463	mask	r
r	1000	1428	1030	1456	mask	r
r	1047	1428	1097	1456	mask	r
r	1116	1428	1189	1463	mask	r
r	1204	1428	1347	1456	mask	r
r	1366	1428	1398	1456	mask	r
r	1416	1428	1463	1456	mask	r
r	1480	1426	1553	1463	mask	r
r	146	1478	284	1513	mask	r
r	303	1478	428	1515	mask	r
r	446	1478	581	1515	mask	r
r	597	1480	760	1513	mask	r
r	775	1480	844	1508	mask	r
r	859	1487	915	1515	mask	r
r	931	1478	997	1508	mask	r
r	1012	1478	1187	1515	mask	r
r	1204	1478	1301	1513	mask	r
r	1323	1478	1411	1513	mask	r
r	1433	1478	1474	1506	mask	r
r	1493	1484	1553	1506	mask	r
r	144	1528	185	1558	mask	r
r	217	1528	282	1558	mask	r
r	312	1530	508	1564	mask	r
r	540	1530	573	1558	mask	r
r	603	1528	644	1558	mask	r
r	674	1528	741	1558	mask	r
r	773	1530	956	1558	mask	r
r	987	1528	1135	1558	mask	r
r	183	1579	221	1607	mask	r
r	241	1579	407	1616	mask	r
r	426	1579	465	1609	mask	r
r	484	1579	512	1609	mask	r
r	530	1581	700	1616	mask	r
r	722	1588	760	1609	mask	r
r	780	1581	836	1614	mask	r
r	857	1579	909	1609	mask	r
r	928	1579	1015	1609	mask	r
r	1034	1581	1097	1609	mask	r
r	1118	1579	1137	1609	mask	r
r	1155	1579	1219	1609	mask	r
r	1237	1586	1316	1609	mask	r
r	1334	1579	1383	1607	mask	r
r	1403	1579	1553	1607	mask	r
r	144	1629	185	1659	mask	r
r	206	1629	293	1659	mask	r
r	314	1629	392	1659	mask	r
r	415	1629	594	1666	mask	r
r	618	1638	655	1659	mask	r
r	681	1631	823	1666	mask	r
r	844	1638	972	1659	mask	r
r	993	1638	1073	1666	mask	r
r	1094	1629	1122	1659	mask	r
r	1148	1631	1245	1666	mask	r
r	1271	1629	1319	1659	mask	r
r	1347	1629	1553	1666	mask	r
r	144	1681	357	1709	mask	r
r	383	1687	422	1709	mask	r
r	446	1681	672	1717	mask	r
r	696	1681	872	1709	mask	r
r	896	1681	926	1709	mask	r
r	950	1678	1088	1709	mask	r
r	1109	1689	1170	1709	mask	r
r	1196	1678	1405	1717	mask	r
r	1428	1678	1551	1709	mask	r
r	144	1730	204	1760	mask	r
r	226	1739	353	1760	mask	r
r	375	1732	517	1767	mask	r
r	536	1730	603	1760	mask	r
r	622	1732	722	1760	mask	r
r	741	1730	931	1767	mask	r
r	954	1732	1120	1767	mask	r
r	1140	1730	1262	1767	mask	r
r	1284	1730	1344	1760	mask	r
r	1368	1730	1551	1767	mask	r
r	144	1788	209	1816	mask	r
r	224	1780	368	1810	mask	r
r	385	1782	500	1810	mask	r
r	515	1782	534	1810	mask	r
r	551	1782	717	1810	mask	r
r	737	1782	797	1810	mask	r
r	812	1782	879	1810	mask	r
r	898	1780	1090	1812	mask	r
r	1105	1782	1334	1810	mask	r
r	1349	1791	1387	1810	mask	r
r	1407	1780	1553	1816	mask	r
r	144	1831	185	1860	mask	r
r	202	1831	230	1860	mask	r
r	250	1831	409	1868	mask	r
r	428	1831	528	1860	mask	r
r	547	1831	732	1868	mask	r
r	752	1831	793	1860	mask	r
r	812	1831	939	1862	mask	r
r	961	1831	1058	1866	mask	r
r	1077	1840	1198	1860	mask	r
r	1217	1831	1321	1868	mask	r
r	1340	1831	1379	1860	mask	r
r	1398	1831	1444	1860	mask	r
r	1463	1831	1495	1860	mask	r
r	1513	1831	1553	1860	mask	r
r	140	1881	252	1916	mask	r
r	267	1883	318	1918	mask	r
r	331	1881	400	1911	mask	r
r	413	1883	556	1918	mask	r
r	571	1883	612	1911	mask	r
r	625	1883	653	1911	mask	r
r	668	1883	786	1911	mask	r
r	803	1883	842	1911	mask	r
r	859	1883	961	1911	mask	r
r	974	1883	1094	1918	mask	r
r	1109	1890	1146	1911	mask	r
r	1161	1883	1340	1918	mask	r
r	1353	1883	1385	1911	mask	r
r	1398	1881	1553	1911	mask	r
r	144	1939	206	1961	mask	r
r	221	1933	407	1969	mask	r
r	424	1933	581	1967	mask	r
r	599	1933	676	1961	mask	r
r	691	1933	739	1963	mask	r
r	754	1933	913	1969	mask	r
r	928	1941	1056	1963	mask	r
r	1071	1933	1265	1969	mask	r
r	1282	1933	1319	1961	mask	r
r	1334	1941	1375	1961	mask	r
r	1387	1933	1553	1961	mask	r
r	144	1991	206	2019	mask	r
r	224	1985	290	2013	mask	r
r	310	1985	592	2019	mask	r
r	609	1982	722	2013	mask	r
r	739	1985	767	2013	mask	r
r	786	1985	1021	2019	mask	r
r	1043	1985	1183	2013	mask	r
r	1202	1985	1243	2013	mask	r
r	1260	1985	1347	2013	mask	r
r	1364	1985	1551	2019	mask	r
r	1444	2148	1472	2172	mask	r
