b	209	36	452	64	mask	b
r	1265	500	1338	534	mask	r
r	1364	500	1553	536	mask	r
r	1577	502	1614	532	mask	r
r	1638	504	1704	536	mask	r
r	349	543	489	579	mask	r
r	504	545	540	575	mask	r
r	556	547	689	581	mask	r
r	704	547	762	575	mask	r
r	775	556	896	577	mask	r
r	911	549	961	577	mask	r
r	974	549	1155	579	mask	r
r	1168	549	1187	579	mask	r
r	1200	549	1228	579	mask	r
r	1243	551	1553	588	mask	r
r	1569	553	1706	586	mask	r
r	346	594	392	625	mask	r
r	413	597	599	631	mask	r
r	622	599	653	627	mask	r
r	672	597	719	627	mask	r
r	741	599	926	629	mask	r
r	950	599	989	629	mask	r
r	1012	601	1163	629	mask	r
r	1187	601	1353	631	mask	r
r	1381	603	1420	631	mask	r
r	1444	605	1519	633	mask	r
r	1541	607	1706	637	mask	r
r	344	646	428	681	mask	r
r	441	648	472	676	mask	r
r	484	655	521	676	mask	r
r	540	648	637	676	mask	r
r	650	650	754	685	mask	r
r	767	648	831	678	mask	r
r	847	653	978	687	mask	r
r	995	650	1034	681	mask	r
r	1049	653	1133	681	mask	r
r	1153	659	1260	683	mask	r
r	1280	655	1331	683	mask	r
r	1351	653	1379	683	mask	r
r	1398	655	1560	685	mask	r
r	1581	655	1618	685	mask	r
r	1633	659	1706	687	mask	r
r	346	704	407	724	mask	r
r	424	696	504	726	mask	r
r	523	698	560	726	mask	r
r	577	698	689	734	mask	r
r	706	700	831	730	mask	r
r	851	700	868	730	mask	r
r	887	702	1000	730	mask	r
r	1017	702	1034	732	mask	r
r	1056	711	1094	732	mask	r
r	1116	702	1196	739	mask	r
r	1217	704	1398	739	mask	r
r	1420	706	1607	743	mask	r
r	1625	706	1642	737	mask	r
r	1659	717	1706	739	mask	r
r	346	747	512	782	mask	r
r	530	747	568	778	mask	r
r	586	750	717	786	mask	r
r	737	750	903	788	mask	r
r	922	760	1004	784	mask	r
r	1023	754	1159	790	mask	r
r	1178	762	1219	784	mask	r
r	1237	756	1359	786	mask	r
r	1379	756	1478	786	mask	r
r	1500	765	1562	788	mask	r
r	1579	758	1709	790	mask	r
r	346	803	448	825	mask	r
r	472	799	556	829	mask	r
r	584	799	670	829	mask	r
r	693	801	778	831	mask	r
r	801	801	913	831	mask	r
r	941	803	1015	834	mask	r
r	1043	806	1116	842	mask	r
r	1144	814	1275	836	mask	r
r	1303	808	1366	838	mask	r
r	1387	808	1474	838	mask	r
r	1500	816	1625	840	mask	r
r	1644	819	1709	847	mask	r
r	346	855	517	885	mask	r
r	538	849	564	879	mask	r
r	584	849	702	881	mask	r
r	722	853	872	890	mask	r
r	894	855	933	885	mask	r
r	956	855	984	885	mask	r
r	1006	857	1129	892	mask	r
r	1153	857	1275	887	mask	r
r	1297	859	1390	894	mask	r
r	1411	859	1439	887	mask	r
r	1461	859	1577	890	mask	r
r	1599	859	1638	890	mask	r
r	1657	859	1709	892	mask	r
r	346	898	487	935	mask	r
r	508	900	620	937	mask	r
r	640	903	668	931	mask	r
r	687	905	778	933	mask	r
r	801	903	840	935	mask	r
r	862	905	954	935	mask	r
r	978	907	1131	944	mask	r
r	1157	907	1338	939	mask	r
r	1366	911	1495	948	mask	r
r	1515	911	1534	941	mask	r
r	1556	911	1709	948	mask	r
r	344	948	454	984	mask	r
r	474	950	502	980	mask	r
r	521	952	633	987	mask	r
r	653	954	872	987	mask	r
r	896	956	1025	993	mask	r
r	1051	959	1079	989	mask	r
r	1103	959	1245	991	mask	r
r	1267	963	1392	991	mask	r
r	1413	963	1454	991	mask	r
r	1476	961	1504	991	mask	r
r	1525	972	1663	1000	mask	r
r	1678	965	1709	993	mask	r
r	344	1000	482	1034	mask	r
r	495	1004	525	1030	mask	r
r	538	1002	584	1032	mask	r
r	597	1004	739	1034	mask	r
r	754	1012	793	1034	mask	r
r	808	1008	883	1036	mask	r
r	896	1008	1131	1045	mask	r
r	1148	1010	1265	1049	mask	r
r	1284	1012	1312	1040	mask	r
r	1331	1012	1454	1043	mask	r
r	1467	1021	1590	1043	mask	r
r	1605	1015	1635	1043	mask	r
r	1650	1015	1709	1043	mask	r
r	342	1049	504	1086	mask	r
r	528	1053	704	1084	mask	r
r	728	1058	896	1094	mask	r
r	920	1069	972	1088	mask	r
r	995	1060	1021	1090	mask	r
r	1045	1062	1194	1092	mask	r
r	1213	1064	1254	1092	mask	r
r	1282	1071	1347	1099	mask	r
r	1375	1073	1461	1094	mask	r
r	1489	1064	1517	1094	mask	r
r	1538	1073	1711	1097	mask	r
r	344	1101	392	1129	mask	r
r	403	1101	571	1137	mask	r
r	586	1112	646	1135	mask	r
r	663	1107	810	1137	mask	r
r	825	1109	857	1137	mask	r
r	870	1118	933	1140	mask	r
r	952	1118	1010	1146	mask	r
r	1028	1120	1066	1142	mask	r
r	1084	1112	1187	1144	mask	r
r	1200	1122	1206	1150	mask	r
r	1224	1122	1278	1144	mask	r
r	1293	1125	1331	1144	mask	r
r	1349	1116	1500	1146	mask	r
r	1515	1118	1569	1146	mask	r
r	1581	1118	1711	1153	mask	r
r	342	1157	379	1178	mask	r
r	400	1153	597	1187	mask	r
r	616	1163	670	1185	mask	r
r	689	1157	788	1194	mask	r
r	808	1161	887	1191	mask	r
r	907	1170	972	1198	mask	r
r	991	1163	1019	1194	mask	r
r	1040	1163	1133	1194	mask	r
r	1153	1166	1347	1196	mask	r
r	1375	1176	1381	1196	mask	r
r	1400	1174	1420	1196	mask	r
r	1441	1168	1517	1198	mask	r
r	1538	1168	1579	1198	mask	r
r	1599	1168	1713	1204	mask	r
r	342	1200	379	1230	mask	r
r	398	1200	489	1237	mask	r
r	508	1204	545	1234	mask	r
r	564	1206	698	1237	mask	r
r	719	1217	745	1243	mask	r
r	762	1217	801	1239	mask	r
r	819	1213	868	1247	mask	r
r	887	1219	967	1247	mask	r
r	984	1222	1069	1243	mask	r
r	1088	1217	1226	1252	mask	r
r	1243	1226	1282	1247	mask	r
r	1297	1217	1437	1250	mask	r
r	1456	1226	1513	1256	mask	r
r	1534	1226	1541	1247	mask	r
r	1560	1226	1577	1247	mask	r
r	1594	1219	1666	1250	mask	r
r	1681	1219	1713	1247	mask	r
r	342	1252	487	1288	mask	r
r	504	1254	543	1284	mask	r
r	558	1256	650	1293	mask	r
r	665	1258	704	1288	mask	r
r	722	1260	859	1291	mask	r
r	879	1271	907	1297	mask	r
r	926	1262	987	1293	mask	r
r	1006	1273	1069	1301	mask	r
r	1088	1267	1196	1297	mask	r
r	1215	1269	1416	1299	mask	r
r	1437	1269	1465	1299	mask	r
r	1487	1269	1635	1301	mask	r
r	1650	1271	1678	1299	mask	r
r	1694	1269	1713	1299	mask	r
r	342	1301	484	1334	mask	r
r	500	1306	536	1334	mask	r
r	551	1306	758	1344	mask	r
r	775	1310	944	1349	mask	r
r	965	1323	1047	1347	mask	r
r	1071	1316	1206	1353	mask	r
r	1230	1319	1444	1355	mask	r
r	1465	1321	1493	1351	mask	r
r	1517	1321	1663	1351	mask	r
r	1681	1321	1713	1349	mask	r
r	342	1355	476	1383	mask	r
r	497	1357	528	1385	mask	r
r	547	1364	584	1385	mask	r
r	605	1357	646	1387	mask	r
r	668	1359	709	1390	mask	r
r	728	1364	855	1400	mask	r
r	877	1364	944	1394	mask	r
r	963	1366	1137	1398	mask	r
r	1209	1982	1398	2017	mask	r
r	1424	1989	1569	2025	mask	r
r	1599	1991	1719	2021	mask	r
r	415	2122	448	2148	mask	r
